entry_time,exit_time,direction,entry_price,exit_price,take_profit,stop_loss,leverage,size,reason,pnl,balance
2020-01-08 16:30:00,2020-01-08 16:45:00,SHORT,138.26,138.69209155137662,,138.69209155137662,12.12,87.66523012,SL,-50.0189,949.9811
2020-01-09 16:00:00,2020-01-09 16:15:00,SHORT,136.66,136.13681575286165,,136.13681575286165,14.37,99.9180983,TRAIL,38.6469,988.628
2020-01-11 16:45:00,2020-01-11 17:00:00,LONG,146.29,146.07763952602912,,146.07763952602912,14.45,97.68094254,SL,-35.0229,953.605
2020-01-14 01:30:00,2020-01-14 01:45:00,LONG,147.5,148.00655266137616,,148.00655266137616,17.48,113.04122149,TRAIL,40.5591,994.1641
2020-01-17 06:00:00,2020-01-17 06:15:00,LONG,170.18,170.35302997761818,,170.35302997761818,11.03,64.43594898,TRAIL,0.1781,994.3422
2020-01-18 13:15:00,2020-01-18 13:30:00,LONG,174.23,174.90327913240617,,174.90327913240617,10.7,61.07728193,TRAIL,30.46,1024.8022
2020-01-19 12:00:00,2020-01-19 12:15:00,SHORT,165.77,163.92114264147784,,163.92114264147784,9.86,60.9512953,TRAIL,102.6427,1127.4449
2020-01-20 13:00:00,2020-01-20 13:15:00,SHORT,161.76,162.2292066557967,,162.2292066557967,12.82,89.34266979,SL,-56.3932,1071.0517
2020-01-21 21:00:00,2020-01-21 21:15:00,LONG,169.79,169.55648415090002,,169.55648415090002,15.17,95.67859839,SL,-38.5766,1032.4751
2020-01-23 01:45:00,2020-01-23 02:00:00,SHORT,165.08,164.99389356434932,,164.99389356434932,17.34,108.4435134,TRAIL,-8.5595,1023.9156
2020-01-26 15:00:00,2020-01-26 15:30:00,LONG,163.77,163.44167438383775,,163.44167438383775,16.64,104.03624857,SL,-51.1787,972.7369
2020-01-30 16:15:00,2020-01-30 16:30:00,LONG,179.02,179.73479806096586,,179.73479806096586,14.84,80.65531354,TRAIL,43.1845,1015.9215
2020-02-02 06:30:00,2020-02-02 06:45:00,LONG,186.8,186.34635122976022,,186.34635122976022,14.58,79.31324897,SL,-50.7781,965.1434
2020-02-05 10:30:00,2020-02-05 10:45:00,LONG,194.89,195.7197646086916,,195.7197646086916,15.79,78.18558967,TRAIL,49.6056,1014.749
2020-02-08 08:45:00,2020-02-08 09:00:00,LONG,225.3,225.53715398400155,,225.53715398400155,11.85,53.35731063,TRAIL,0.6262,1015.3752
2020-02-11 15:30:00,2020-02-11 15:45:00,LONG,230.14,229.94409146761262,,229.94409146761262,13.89,61.26662061,SL,-26.0966,989.2786
2020-02-14 16:45:00,2020-02-14 17:00:00,LONG,278.33,277.21398210692973,,277.21398210692973,9.98,35.47459722,SL,-49.4441,939.8345
2020-02-16 00:00:00,2020-02-16 00:15:00,SHORT,262.0,260.94422586647175,,260.94422586647175,9.22,33.09087639,TRAIL,26.2841,966.1186
2020-02-16 15:15:00,2020-02-16 15:30:00,SHORT,259.23,258.7745952214681,,258.7745952214681,8.98,33.47587566,TRAIL,6.5747,972.6934
2020-02-18 19:45:00,2020-02-18 20:00:00,LONG,285.06,283.69918679879424,,283.69918679879424,8.66,29.54946217,SL,-48.6146,924.0788
2020-02-19 17:15:00,2020-02-19 17:30:00,LONG,286.16,285.04718645323464,,285.04718645323464,10.23,33.02702892,SL,-46.1856,877.8932
2020-02-19 23:45:00,2020-02-20 00:00:00,SHORT,258.43,259.8876871119467,,259.8876871119467,7.53,25.57789403,SL,-43.9133,833.9799
2020-02-23 04:00:00,2020-02-23 04:15:00,LONG,267.23,267.1505698167658,,267.1505698167658,14.13,44.0868007,SL,-15.2814,818.6985
2020-02-25 06:15:00,2020-02-25 06:30:00,SHORT,256.5,257.3405952483571,,257.3405952483571,11.69,37.31209949,SL,-40.9506,777.7479
2020-03-01 16:30:00,2020-03-01 16:45:00,SHORT,216.53,216.4735670718795,,216.4735670718795,9.74,35.00040462,TRAIL,-5.6025,772.1455
2020-03-02 13:30:00,2020-03-02 13:45:00,LONG,227.52,226.86529351186337,,226.86529351186337,11.34,38.47692436,SL,-33.9328,738.2127
2020-03-05 10:45:00,2020-03-05 11:00:00,LONG,232.26,232.28546579633675,,232.28546579633675,14.76,46.89904526,TRAIL,-9.699,728.5136
2020-03-06 06:00:00,2020-03-06 06:15:00,LONG,235.19,235.0791145535795,,235.0791145535795,14.61,45.25618055,SL,-15.6595,712.8541
2020-03-08 12:30:00,2020-03-08 12:45:00,SHORT,227.52,225.81704909749516,,225.81704909749516,12.57,39.38409158,TRAIL,58.142,770.9961
2020-03-09 15:00:00,2020-03-09 15:15:00,SHORT,195.5,195.71561062412172,,195.71561062412172,6.5,25.62666341,SL,-10.5382,760.458
